"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4073372657.03","5972702686.46","19325024405.569","12106846270.8867","6741202271.56089","10428443522.0714","11725609432.54","13828437551.1","20363505206.744","20588425147","45126627100.6083","52925731852.5222","","","","","","",
"Africa Western and Central","AFW","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","678988421.75","3718640297.4","6955592667.6","16469370445","65469370105","39149691502","146896825401","178131374893","287223417692","284868859365","277727649826","602314865010","897200216146","670324152466","923630948178","1068413527767.09","565427290774.67","464829563295.63","381806269427.97","453920219031.98","535466516014.77","","","","",
"Albania","ALB","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33711000000","45069829000","43440510000","57025332000","","","","53907910000","57283880000","70135194000","","","","","","","135897660000","139920080000","151769660000","164007990000","164747030000","183360700000","197572630000","203363050000","208649820000","222878870000","247216460000","","",
"Andorra","AND","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11345758359.16","13167132156.1","14688035175.35","13754194438.95","11902519750.05","12417125543.39","12618257439","13133189392.58","12903828773.07","16841620332.01","18568351474.5731","15499474553.77","",
"Argentina","ARG","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4252800000","11276800000","16932000000","22954200000","26249800000","26686100000","27440700000","28400600000","28984400000","29442600000","29024600000","26880700000","26714200000","33224429853.11","41014452981.35","","","","","","","","","","743750800000","975134300000","1373643500000","1667127300000","2214823100000","3046866285400.1","5294371101958.07","7815611670282.53","13234131053069.7","",
"Armenia","ARM","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104018500000","148469543088","169459613010","187285915677.25","325890219446.875","280115446820","310155440008","306903159990","338778936120","380467718138.89","474292783080","471486297380","600560737928.843","484458581732.133","534153824014.501","543684219601","675864153810","734363461610","715652047505.6","",
"American Samoa","ASM","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","","","309000000","318000000","369000000","400000000","564000000","826000000","930000000","1199000000","1311000000","1522000000","1690000000","1911000000","1923000000","1762000000","1971000000","1781000000","55491000000","62684000000","68433000000","74639000000","77913000000","80725000000","85950000000","89057000000","88928000000","99984000000","105132000000","125917000000","136921000000","142977000000","155670000000","166570000000","173338000000","183447000000","198795000000","237991000000","241204000000","253378000000","263868000000","267108000000","284634000000","293956000000","302158000000","316312000000","324898000000","341249000000","420127000000","497452000000","447353000000","",
"Austria","AUT","Subsidies and other transfers (current LCU)","GC.XPN.TRFT.CN","","","","","","","","","","","","","260168746.320938","330661395.463762","605364708.618271","904776785.389853","978176347.899392","1174393000.15261","1255786574.42062","1345900888.78876","1560285749.58395","1719439256.41156","1770310240.32906","1913475723.63975","1951265597.40703","2132947682.82668","2567531231.15048","2638023880.29331","2431633031.25659","2454161609.84862","30291490737.8473","33114103616.927","35668553737.9272","39225888970.4439","41103755005.3414","59956830000","62446400000","64222120000","66059030000","69180890000","71102600000","73614560000","76038920000","78198880000","79529250000","81681950000","84912530000","88068430000","92682250000","95034140000","97148780000","100157530000","104586720000","108394600000","111361820000","116810710000","118145400000","120295510000","124667110000","128630680000","146570920000","154152200000","158083390000","",
